,Open,High,Low,Close,Adj Close,Volume
2022-03-01 09:25:00+01:00,348.5,349.0,348.5,349.0,349.0,5.0
2022-03-01 09:30:00+01:00,349.0,349.5,349.0,349.5,349.5,20.0
2022-03-01 09:35:00+01:00,349.0,349.0,348.0,348.0,348.0,8.0
2022-03-01 09:40:00+01:00,347.0,347.0,345.5,345.5,345.5,54.0
2022-03-01 09:45:00+01:00,346.0,346.0,345.0,345.0,345.0,25.0
2022-03-01 09:50:00+01:00,345.5,345.5,345.5,345.5,345.5,6.0
2022-03-01 09:55:00+01:00,345.5,345.5,345.5,345.5,345.5,17.0
2022-03-01 10:00:00+01:00,345.5,345.5,345.0,345.0,345.0,11.0
2022-03-01 10:20:00+01:00,343.0,344.0,342.5,343.0,343.0,25.0
2022-03-01 10:25:00+01:00,343.5,343.5,343.5,343.5,343.5,2.0
2022-03-01 10:30:00+01:00,343.5,344.5,343.0,344.5,344.5,41.0
2022-03-01 10:35:00+01:00,344.5,344.5,344.5,344.5,344.5,5.0
2022-03-01 10:40:00+01:00,344.5,344.5,344.5,344.5,344.5,20.0
2022-03-01 10:55:00+01:00,344.0,344.0,344.0,344.0,344.0,3.0
2022-03-01 11:00:00+01:00,343.0,343.0,342.0,342.0,342.0,19.0
2022-03-01 11:05:00+01:00,342.0,342.0,340.5,340.5,340.5,26.0
2022-03-01 11:25:00+01:00,341.0,341.0,340.5,341.0,341.0,67.0
2022-03-01 11:30:00+01:00,341.0,342.0,340.0,341.0,341.0,73.0
2022-03-01 11:40:00+01:00,339.5,341.0,339.5,341.0,341.0,34.0
2022-03-01 11:45:00+01:00,341.5,341.5,340.5,340.5,340.5,41.0
2022-03-01 12:00:00+01:00,341.0,341.0,341.0,341.0,341.0,2.0
2022-03-01 12:05:00+01:00,341.0,341.0,341.0,341.0,341.0,14.0
2022-03-01 12:10:00+01:00,341.0,341.0,341.0,341.0,341.0,1.0
2022-03-01 12:15:00+01:00,342.0,342.0,341.0,342.0,342.0,41.0
2022-03-01 12:25:00+01:00,342.5,342.5,342.5,342.5,342.5,6.0
2022-03-01 12:30:00+01:00,344.0,344.0,344.0,344.0,344.0,8.0
2022-03-01 12:40:00+01:00,344.5,344.5,344.5,344.5,344.5,20.0
2022-03-01 12:45:00+01:00,345.0,345.0,345.0,345.0,345.0,1.0
2022-03-01 12:50:00+01:00,344.0,344.0,344.0,344.0,344.0,2.0
2022-03-01 13:15:00+01:00,343.0,343.0,343.0,343.0,343.0,2.0
2022-03-01 13:20:00+01:00,344.5,345.0,344.5,345.0,345.0,14.0
2022-03-01 13:25:00+01:00,345.0,345.0,345.0,345.0,345.0,1.0
2022-03-01 13:30:00+01:00,344.5,344.5,344.5,344.5,344.5,10.0
2022-03-01 13:50:00+01:00,345.0,345.0,345.0,345.0,345.0,1.0
2022-03-01 13:55:00+01:00,345.0,346.0,345.0,346.0,346.0,17.0
2022-03-01 14:05:00+01:00,347.0,347.0,347.0,347.0,347.0,9.0
2022-03-01 14:10:00+01:00,347.0,347.5,347.0,347.5,347.5,23.0
2022-03-01 14:25:00+01:00,348.0,349.0,348.0,349.0,349.0,21.0
2022-03-01 14:35:00+01:00,349.5,350.0,349.5,350.0,350.0,6.0
2022-03-01 14:50:00+01:00,351.0,352.0,351.0,352.0,352.0,141.0
2022-03-01 14:55:00+01:00,352.0,352.0,352.0,352.0,352.0,2.0
2022-03-01 15:05:00+01:00,352.0,352.0,352.0,352.0,352.0,9.0
2022-03-01 15:20:00+01:00,352.5,355.0,352.5,354.0,354.0,139.0
2022-03-01 15:40:00+01:00,355.0,355.5,353.0,353.5,353.5,96.0
2022-03-01 15:45:00+01:00,353.5,354.5,353.5,354.5,354.5,13.0
2022-03-01 15:50:00+01:00,354.5,354.5,354.5,354.5,354.5,46.0
2022-03-01 16:00:00+01:00,355.5,356.5,355.5,356.5,356.5,9.0
2022-03-01 16:10:00+01:00,356.0,357.5,356.0,357.5,357.5,33.0
2022-03-01 16:20:00+01:00,359.0,359.0,359.0,359.0,359.0,25.0
2022-03-01 16:25:00+01:00,361.0,361.5,360.0,360.0,360.0,90.0
2022-03-01 16:30:00+01:00,360.5,361.0,360.0,361.0,361.0,38.0
2022-03-01 16:35:00+01:00,362.0,363.0,361.5,363.0,363.0,69.0
2022-03-01 16:40:00+01:00,361.0,361.0,358.5,360.0,360.0,56.0
2022-03-01 16:45:00+01:00,358.5,361.0,358.0,361.0,361.0,227.0
2022-03-01 16:50:00+01:00,359.5,360.0,359.5,359.5,359.5,73.0
2022-03-01 16:55:00+01:00,360.5,361.5,360.5,361.5,361.5,128.0
2022-03-01 17:00:00+01:00,360.5,361.0,359.5,360.5,360.5,180.0
2022-03-01 17:05:00+01:00,360.5,362.0,360.0,361.5,361.5,221.0
2022-03-01 17:10:00+01:00,362.5,364.0,361.5,364.0,364.0,223.0
2022-03-01 17:15:00+01:00,364.0,364.0,362.5,362.5,362.5,76.0
2022-03-01 17:20:00+01:00,363.0,364.0,362.0,364.0,364.0,274.0
2022-03-01 17:25:00+01:00,362.5,362.5,361.5,362.5,362.5,74.0
2022-03-02 09:00:00+01:00,354.0,364.5,354.0,360.5,360.5,0.0
2022-03-02 09:05:00+01:00,358.0,360.5,357.5,360.5,360.5,79.0
2022-03-02 09:10:00+01:00,362.0,362.5,361.5,362.5,362.5,55.0
2022-03-02 09:15:00+01:00,363.5,364.5,363.5,364.5,364.5,8.0
2022-03-02 09:20:00+01:00,364.0,364.0,363.0,364.0,364.0,41.0
2022-03-02 09:25:00+01:00,365.0,365.0,365.0,365.0,365.0,11.0
2022-03-02 09:30:00+01:00,364.0,365.5,364.0,365.0,365.0,12.0
